Timestamp,Class,Confidence,Pos_X,Pos_Y,Altitude_M,Snapshot_File
20260909_141653_466,car,0.60,21.25,28.57,13.13,car_20260909_141653_466.jpg
20260909_141701_265,car,0.64,20.01,31.30,16.57,car_20260909_141701_265.jpg
20260909_141706_806,car,0.68,22.01,30.76,16.52,car_20260909_141706_806.jpg
20260909_141708_499,car,0.53,24.53,28.93,16.23,car_20260909_141708_499.jpg
20260909_141710_336,car,0.68,26.48,26.92,16.18,car_20260909_141710_336.jpg
20260909_141712_955,car,0.69,29.05,24.15,16.06,car_20260909_141712_955.jpg
20260909_141714_721,car,0.77,30.16,23.06,15.95,car_20260909_141714_721.jpg
20260909_141716_363,car,0.68,31.09,22.15,15.84,car_20260909_141716_363.jpg
20260909_141719_843,car,0.70,31.80,22.08,15.81,car_20260909_141719_843.jpg
20260909_141725_869,car,0.57,31.40,23.64,13.69,car_20260909_141725_869.jpg
20260909_141728_960,car,0.58,30.03,25.20,13.69,car_20260909_141728_960.jpg
20260909_141734_107,car,0.46,27.91,27.02,13.59,car_20260909_141734_107.jpg
20260909_141736_448,car,0.72,26.84,28.26,13.52,car_20260909_141736_448.jpg
20260909_141738_721,car,0.55,25.59,29.84,13.45,car_20260909_141738_721.jpg
20260909_141740_360,car,0.64,24.46,31.46,13.37,car_20260909_141740_360.jpg
20260909_141742_095,car,0.65,23.08,33.56,13.31,car_20260909_141742_095.jpg
20260909_141743_888,car,0.77,21.72,35.73,13.21,car_20260909_141743_888.jpg
20260909_141745_653,car,0.63,20.37,37.94,13.17,car_20260909_141745_653.jpg
20260909_141747_756,car,0.82,19.18,39.50,13.14,car_20260909_141747_756.jpg
20260909_141749_381,car,0.56,18.49,40.24,13.05,car_20260909_141749_381.jpg
20260909_141902_033,car,0.49,21.70,36.28,20.21,car_20260909_141902_033.jpg
20260909_141904_147,car,0.61,23.73,33.58,19.74,car_20260909_141904_147.jpg
20260909_141905_934,car,0.55,24.65,32.47,19.62,car_20260909_141905_934.jpg
20260909_141907_752,car,0.67,25.51,31.42,19.51,car_20260909_141907_752.jpg
20260909_141910_254,car,0.62,27.05,29.36,19.37,car_20260909_141910_254.jpg
